member_id,Birch_Plan_Items_List,Maximum Satisfaction Rate,delivery costs
1,1,7.838279141104266,19174.0
2,8,,
3,6,,
4,2,,
5,6,,
6,8,,
7,6,,
8,6,,
9,1,,
10,8,,
11,7,,
12,1,,
13,5,,
14,7,,
15,2,,
16,9,,
17,2,,
18,5,,
19,8,,
20,5,,
21,7,,
22,1,,
23,1,,
24,9,,
25,7,,
26,8,,
27,5,,
28,5,,
29,7,,
30,8,,
31,9,,
32,5,,
33,5,,
34,7,,
35,7,,
36,6,,
37,8,,
38,5,,
39,1,,
40,9,,
41,6,,
42,5,,
43,9,,
44,7,,
45,5,,
46,5,,
47,6,,
48,6,,
49,6,,
50,8,,
51,9,,
52,8,,
53,7,,
54,9,,
55,7,,
56,8,,
57,1,,
58,5,,
59,7,,
60,8,,
61,7,,
62,5,,
63,8,,
64,5,,
65,2,,
66,8,,
67,5,,
68,8,,
69,8,,
70,7,,
71,6,,
72,8,,
73,5,,
74,7,,
75,1,,
76,1,,
77,9,,
78,5,,
79,7,,
80,5,,
81,5,,
82,7,,
83,1,,
84,7,,
85,6,,
86,8,,
87,8,,
88,7,,
89,6,,
90,5,,
91,7,,
92,1,,
93,5,,
94,9,,
95,8,,
96,1,,
97,7,,
98,1,,
99,5,,
100,5,,
101,8,,
102,5,,
103,7,,
104,4,,
105,6,,
106,7,,
107,5,,
108,7,,
109,5,,
110,8,,
111,7,,
112,1,,
113,7,,
114,8,,
115,6,,
116,5,,
117,5,,
118,5,,
119,5,,
120,8,,
121,8,,
122,5,,
123,8,,
124,8,,
125,5,,
126,8,,
127,1,,
128,6,,
129,9,,
130,1,,
131,2,,
132,1,,
133,8,,
134,1,,
135,5,,
136,7,,
137,2,,
138,8,,
139,5,,
140,5,,
141,4,,
142,6,,
143,6,,
144,5,,
145,8,,
146,6,,
147,8,,
148,8,,
149,8,,
150,7,,
151,5,,
152,8,,
153,5,,
154,8,,
155,5,,
156,1,,
157,2,,
158,7,,
159,1,,
160,5,,
161,7,,
162,8,,
163,2,,
164,1,,
165,8,,
166,6,,
167,5,,
168,5,,
169,1,,
170,8,,
171,1,,
172,5,,
173,8,,
174,8,,
175,7,,
176,7,,
177,5,,
178,5,,
179,1,,
180,2,,
181,1,,
182,9,,
183,1,,
184,6,,
185,5,,
186,7,,
187,5,,
188,5,,
189,5,,
190,5,,
191,8,,
192,7,,
193,8,,
194,7,,
195,8,,
196,8,,
197,1,,
198,2,,
199,9,,
200,6,,
201,8,,
202,6,,
203,8,,
204,5,,
205,1,,
206,5,,
207,7,,
208,7,,
209,5,,
210,5,,
211,8,,
212,5,,
213,8,,
214,5,,
215,6,,
216,5,,
217,5,,
218,8,,
219,2,,
220,5,,
221,5,,
222,6,,
223,5,,
224,9,,
225,9,,
226,1,,
227,8,,
228,6,,
229,5,,
230,9,,
231,5,,
232,8,,
233,7,,
234,6,,
235,5,,
236,1,,
237,5,,
238,7,,
239,9,,
240,5,,
241,5,,
242,8,,
243,9,,
244,2,,
245,5,,
246,5,,
247,1,,
248,7,,
249,7,,
250,7,,
251,8,,
252,5,,
253,8,,
254,9,,
255,1,,
256,8,,
257,6,,
258,5,,
259,9,,
260,1,,
261,5,,
262,7,,
263,1,,
264,1,,
265,5,,
266,5,,
267,2,,
268,9,,
269,1,,
270,8,,
271,2,,
272,5,,
273,1,,
274,7,,
275,9,,
276,5,,
277,5,,
278,6,,
279,2,,
280,5,,
281,7,,
282,6,,
283,8,,
284,7,,
285,5,,
286,6,,
287,9,,
288,7,,
289,6,,
290,6,,
291,1,,
292,6,,
293,5,,
294,7,,
295,1,,
296,8,,
297,6,,
298,6,,
299,5,,
300,9,,
301,8,,
302,1,,
303,4,,
304,7,,
305,6,,
306,8,,
307,9,,
308,7,,
309,1,,
310,1,,
311,8,,
312,6,,
313,9,,
314,8,,
315,2,,
316,2,,
317,5,,
318,6,,
319,7,,
320,7,,
321,5,,
322,9,,
323,4,,
324,1,,
325,5,,
326,6,,
327,6,,
328,6,,
329,5,,
330,5,,
331,5,,
332,8,,
333,1,,
334,6,,
335,5,,
336,5,,
337,8,,
338,5,,
339,8,,
340,5,,
341,7,,
342,8,,
343,6,,
344,8,,
345,5,,
346,1,,
347,8,,
348,7,,
349,1,,
350,5,,
351,1,,
352,5,,
353,1,,
354,5,,
355,5,,
356,7,,
357,5,,
358,5,,
359,9,,
360,5,,
361,8,,
362,5,,
363,6,,
364,6,,
365,7,,
366,8,,
367,8,,
368,8,,
369,8,,
370,5,,
371,9,,
372,9,,
373,7,,
374,5,,
375,7,,
376,8,,
377,7,,
378,2,,
379,2,,
380,8,,
381,7,,
382,8,,
383,8,,
384,8,,
385,5,,
386,6,,
387,8,,
388,4,,
389,5,,
390,1,,
391,6,,
392,1,,
393,6,,
394,1,,
395,1,,
396,4,,
397,9,,
398,9,,
399,9,,
400,1,,
401,2,,
402,8,,
403,8,,
404,5,,
405,5,,
406,1,,
407,1,,
408,4,,
409,1,,
410,5,,
411,9,,
412,5,,
413,4,,
414,4,,
415,4,,
416,7,,
417,8,,
418,1,,
419,9,,
420,6,,
421,1,,
422,5,,
423,9,,
424,1,,
425,5,,
426,5,,
427,5,,
428,9,,
429,5,,
430,6,,
431,6,,
432,5,,
433,5,,
434,5,,
435,6,,
436,6,,
437,6,,
438,6,,
439,7,,
440,1,,
441,1,,
442,6,,
443,1,,
444,6,,
445,1,,
446,8,,
447,6,,
448,6,,
449,1,,
450,1,,
451,6,,
452,6,,
453,1,,
454,8,,
455,1,,
456,1,,
457,1,,
458,7,,
459,6,,
460,1,,
461,8,,
462,6,,
463,1,,
464,1,,
465,1,,
466,1,,
467,1,,
468,6,,
469,6,,
470,9,,
471,1,,
472,1,,
473,1,,
474,1,,
475,1,,
476,1,,
477,1,,
478,6,,
479,1,,
480,1,,
481,7,,
482,7,,
483,7,,
484,9,,
485,7,,
486,9,,
487,1,,
488,1,,
489,8,,
490,8,,
491,9,,
492,9,,
493,9,,
494,9,,
495,7,,
496,6,,
497,1,,
498,6,,
499,4,,
500,5,,
501,8,,
502,8,,
