member_id,Birch_Plan_Items_List,Minimized Cost,Total Average Satisfaction Rate
1,7,18121.0,7.153358895705525
2,4,,
3,7,,
4,7,,
5,7,,
6,4,,
7,7,,
8,7,,
9,4,,
10,4,,
11,4,,
12,4,,
13,4,,
14,4,,
15,4,,
16,4,,
17,4,,
18,4,,
19,4,,
20,4,,
21,4,,
22,4,,
23,7,,
24,7,,
25,4,,
26,4,,
27,4,,
28,4,,
29,4,,
30,4,,
31,7,,
32,4,,
33,2,,
34,4,,
35,7,,
36,4,,
37,4,,
38,9,,
39,7,,
40,9,,
41,7,,
42,9,,
43,2,,
44,9,,
45,9,,
46,9,,
47,7,,
48,7,,
49,7,,
50,9,,
51,2,,
52,9,,
53,9,,
54,7,,
55,9,,
56,9,,
57,9,,
58,9,,
59,9,,
60,9,,
61,7,,
62,7,,
63,7,,
64,7,,
65,7,,
66,7,,
67,7,,
68,7,,
69,7,,
70,7,,
71,7,,
72,7,,
73,7,,
74,7,,
75,7,,
76,7,,
77,2,,
78,2,,
79,7,,
80,2,,
81,7,,
82,7,,
83,7,,
84,7,,
85,7,,
86,7,,
87,7,,
88,7,,
89,7,,
90,7,,
91,7,,
92,7,,
93,7,,
94,7,,
95,7,,
96,7,,
97,7,,
98,7,,
99,5,,
100,7,,
101,7,,
102,2,,
103,7,,
104,7,,
105,7,,
106,7,,
107,7,,
108,7,,
109,7,,
110,7,,
111,7,,
112,7,,
113,7,,
114,7,,
115,7,,
116,7,,
117,7,,
118,7,,
119,7,,
120,7,,
121,7,,
122,2,,
123,7,,
124,7,,
125,2,,
126,7,,
127,7,,
128,7,,
129,2,,
130,7,,
131,7,,
132,7,,
133,7,,
134,7,,
135,7,,
136,7,,
137,7,,
138,7,,
139,7,,
140,7,,
141,7,,
142,7,,
143,7,,
144,7,,
145,7,,
146,7,,
147,7,,
148,7,,
149,7,,
150,7,,
151,7,,
152,7,,
153,7,,
154,7,,
155,7,,
156,7,,
157,7,,
158,7,,
159,7,,
160,7,,
161,7,,
162,7,,
163,7,,
164,7,,
165,7,,
166,7,,
167,7,,
168,2,,
169,7,,
170,7,,
171,7,,
172,7,,
173,7,,
174,7,,
175,7,,
176,7,,
177,7,,
178,7,,
179,7,,
180,7,,
181,7,,
182,7,,
183,7,,
184,7,,
185,7,,
186,7,,
187,7,,
188,7,,
189,7,,
190,7,,
191,7,,
192,7,,
193,7,,
194,7,,
195,7,,
196,7,,
197,7,,
198,7,,
199,7,,
200,7,,
201,7,,
202,7,,
203,7,,
204,7,,
205,7,,
206,7,,
207,7,,
208,7,,
209,7,,
210,7,,
211,7,,
212,7,,
213,7,,
214,7,,
215,7,,
216,2,,
217,7,,
218,7,,
219,7,,
220,7,,
221,7,,
222,9,,
223,2,,
224,8,,
225,8,,
226,8,,
227,8,,
228,7,,
229,8,,
230,8,,
231,8,,
232,8,,
233,8,,
234,1,,
235,8,,
236,8,,
237,8,,
238,8,,
239,2,,
240,8,,
241,8,,
242,8,,
243,8,,
244,8,,
245,8,,
246,2,,
247,8,,
248,8,,
249,8,,
250,8,,
251,8,,
252,8,,
253,8,,
254,8,,
255,8,,
256,8,,
257,1,,
258,8,,
259,2,,
260,8,,
261,2,,
262,8,,
263,8,,
264,8,,
265,8,,
266,8,,
267,8,,
268,8,,
269,8,,
270,8,,
271,8,,
272,2,,
273,8,,
274,8,,
275,2,,
276,8,,
277,8,,
278,1,,
279,8,,
280,8,,
281,8,,
282,1,,
283,8,,
284,8,,
285,8,,
286,8,,
287,2,,
288,8,,
289,1,,
290,8,,
291,1,,
292,8,,
293,8,,
294,8,,
295,8,,
296,8,,
297,1,,
298,8,,
299,8,,
300,2,,
301,8,,
302,1,,
303,2,,
304,8,,
305,7,,
306,8,,
307,1,,
308,8,,
309,1,,
310,1,,
311,8,,
312,8,,
313,8,,
314,8,,
315,1,,
316,7,,
317,8,,
318,1,,
319,8,,
320,8,,
321,2,,
322,7,,
323,8,,
324,8,,
325,8,,
326,7,,
327,1,,
328,7,,
329,8,,
330,2,,
331,8,,
332,8,,
333,8,,
334,1,,
335,8,,
336,8,,
337,8,,
338,8,,
339,8,,
340,8,,
341,8,,
342,8,,
343,1,,
344,8,,
345,2,,
346,1,,
347,8,,
348,8,,
349,8,,
350,8,,
351,8,,
352,8,,
353,8,,
354,8,,
355,8,,
356,8,,
357,8,,
358,8,,
359,2,,
360,8,,
361,8,,
362,8,,
363,1,,
364,1,,
365,8,,
366,8,,
367,8,,
368,8,,
369,8,,
370,8,,
371,8,,
372,2,,
373,9,,
374,2,,
375,9,,
376,9,,
377,9,,
378,7,,
379,9,,
380,9,,
381,9,,
382,9,,
383,9,,
384,9,,
385,9,,
386,9,,
387,9,,
388,9,,
389,2,,
390,9,,
391,9,,
392,9,,
393,9,,
394,9,,
395,9,,
396,9,,
397,2,,
398,9,,
399,2,,
400,7,,
401,9,,
402,9,,
403,9,,
404,2,,
405,9,,
406,9,,
407,9,,
408,9,,
409,9,,
410,9,,
411,2,,
412,9,,
413,9,,
414,9,,
415,9,,
416,9,,
417,9,,
418,9,,
419,2,,
420,9,,
421,9,,
422,2,,
423,2,,
